s,l,var,;,:,I,B,begin,end,:=,read,write,if,then,else,while,do,+,-,*,d,>,>=,<,<=,=,TRUE,FALSE,$,PR,ID,LD,BL,VDS,VD',VD,ID',TY,CS,S',S,SS,AS,RS,WS,SSS,IF,WHS,E,AE,T,F,L,IL,BEP,BLL,
65,s4,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,48,3,,,,,,,,,,,,,,,,,,,79,47,,49,,,
66,s4,,,,,,,,,,,,,,,,,,,s40,,,,,,,,,,48,3,,,,,,,,,,,,,,,,,,,,80,,49,,,
67,s4,,,,,,s8,,,s24,s25,s26,,,s27,,,,,,,,,,,,,,,23,3,,,,,,,22,,81,15,17,18,19,16,20,21,,,,,,,,,
68,,,r8,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,r9,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,r12,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,r13,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,s33,,,,,r29,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,r45,,,,,r45,,,,,r45,r45,,r45,s64,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,r46,,,,,r46,,,,,r46,r46,,r46,s64,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,r47,,,,,r47,,,,,r47,r47,,r47,s64,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,r48,,,,,r48,,,,,r48,r48,,r48,s64,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,r49,,,,,r49,,,,,r49,r49,,r49,s64,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,r34,,,,,r34,,,,,r34,r34,,r34,r34,r34,s66,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,r35,,,,,r35,,,,,r35,r35,,r35,r35,r35,s66,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,r37,,,,,r37,,,,,r37,r37,,r37,r37,r37,r37,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,s33,,,,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,s4,,,,,,s8,,,s24,s25,s26,,,s27,,,,,,,,,,,,,,,23,3,,,,,,,22,,83,15,17,18,19,16,20,21,,,,,,,,,
83,,,s33,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
